,all_day,calendar_count,calendars,city_name,comment_count,country_abbr,country_abbr2,country_name,created,description,geocode_type,going,going_count,groups,id,image,latitude,link_count,longitude,modified,olson_path,owner,performers,postal_code,privacy,recur_string,region_abbr,region_name,start_time,stop_time,title,tz_city,tz_country,tz_id,tz_olson_path,url,venue_address,venue_display,venue_id,venue_name,venue_url,watching_count
0,0,,,Dublin,,IRL,IE,Ireland,2017-02-20 00:43:52," We are delighted to be running Ireland&#39;s best Study Skills day once again this year. We are now in our 5th year of running the camps and have some super new ideas for this coming summer. This study skills session is for All Secondary Students that want to improve their study skills. It will run over 1 day from 10am to 3.30pm. We will focus on how to study correctly, making the most of their time and how technology can help them along the way. All students will also leave with notes and a free 12 month subscription to www.Studyclix.ie (worth €25), which will give them detailed study notes to use for the year. The one day seminar covers a wide range of skills including motivation, goal setting, time management, exam performance, note taking and memory techniques and coping with learning issues and exam anxiety. The goal of this seminar is to equip students with the skills and motivation to achieve their potential and is suitable for 1st years to 6th years. Location: UCD main campus for 1 dayTarget group: 2nd to 6th Year Students (students that will be in these years come Sept 17)Dates: 17th of AugustTime: 10am - 3.30pm The Aim of the Day: This course aims to change how students look at and study for their exams. Enda does this by inspiring, motivating, and energising students to reach their individual examination goals. ",City Based GeoCodes,,,,E0-001-100541785-0,"[{'medium': {'url': 'http://s3.evcdn.com/images/medium/I0-001/037/870/498-3.jpeg_/dublin-study-skillstechnology-day-2017-98.jpeg', 'width': '128', 'height': '128'}, 'thumb': {'url': 'http://s3.evcdn.com/images/thumb/I0-001/037/870/498-3.jpeg_/dublin-study-skillstechnology-day-2017-98.jpeg', 'width': '48', 'height': '48'}, 'caption': None, 'url': 'http://s3.evcdn.com/images/small/I0-001/037/870/498-3.jpeg_/dublin-study-skillstechnology-day-2017-98.jpeg', 'height': '48', 'width': '48', 'small': {'url': 'http://s3.evcdn.com/images/small/I0-001/037/870/498-3.jpeg_/dublin-study-skillstechnology-day-2017-98.jpeg', 'width': '48', 'height': '48'}}]",53.3416,,-6.25735,2017-02-20 00:43:52,Europe/Dublin,evdb,,,1,,D,Dublin,2017-08-17 10:00:00,,Dublin Study Skills/Technology Day - 2017,,,,,http://dublin.eventful.com/events/dublin-study-skillstechnology-day-2017-/E0-001-100541785-0?utm_source=apis&utm_medium=apim&utm_campaign=apic,"O'Brien Centre of Science , Belfield",1,V0-001-009444835-0,UCD,http://dublin.eventful.com/venues/ucd-/V0-001-009444835-0?utm_source=apis&utm_medium=apim&utm_campaign=apic,
1,0,,,Dublin,,IRL,IE,Ireland,2016-11-14 19:43:48,,EVDB Geocoder,,,,E0-001-097841409-1,"[{'medium': {'url': 'http://s2.evcdn.com/images/medium/I0-001/033/991/141-4.jpeg_/danny-brown-41.jpeg', 'width': '128', 'height': '128'}, 'thumb': {'url': 'http://s2.evcdn.com/images/thumb/I0-001/033/991/141-4.jpeg_/danny-brown-41.jpeg', 'width': '48', 'height': '48'}, 'caption': None, 'url': 'http://s2.evcdn.com/images/small/I0-001/033/991/141-4.jpeg_/danny-brown-41.jpeg', 'height': '48', 'width': '48', 'small': {'url': 'http://s2.evcdn.com/images/small/I0-001/033/991/141-4.jpeg_/danny-brown-41.jpeg', 'width': '48', 'height': '48'}}]",53.3479530,,-6.2619850,2017-01-13 00:30:11,Europe/Dublin,evdb,"{'performer': {'name': 'Danny Brown', 'creator': 'TaylorRea', 'url': 'http://concerts.eventful.com/performers/danny-brown-/P0-001-014205380-4?utm_source=apis&utm_medium=apim&utm_campaign=apic', 'linker': 'evdb', 'short_bio': 'Detroit Rapper', 'id': 'P0-001-014205380-4'}}",,1,,D,Dublin,2017-11-14 19:00:00,,Danny Brown,,,,,http://dublin.eventful.com/events/danny-brown-/E0-001-097841409-1?utm_source=apis&utm_medium=apim&utm_campaign=apic,57 Middle Abbey Street,1,V0-001-004817650-8,The Academy,http://dublin.eventful.com/venues/the-academy-/V0-001-004817650-8?utm_source=apis&utm_medium=apim&utm_campaign=apic,
2,0,,,Dublin,,IRL,IE,Ireland,2016-11-24 23:41:43,,City Based GeoCodes,,,,E0-001-098073925-8@2017100419,"[{'medium': {'url': 'http://s1.evcdn.com/images/medium/I0-001/034/330/428-6.gif_/miss-saigon-28.gif', 'width': '128', 'height': '128'}, 'thumb': {'url': 'http://s1.evcdn.com/images/thumb/I0-001/034/330/428-6.gif_/miss-saigon-28.gif', 'width': '48', 'height': '48'}, 'caption': None, 'url': 'http://s1.evcdn.com/images/small/I0-001/034/330/428-6.gif_/miss-saigon-28.gif', 'height': '48', 'width': '48', 'small': {'url': 'http://s1.evcdn.com/images/small/I0-001/034/330/428-6.gif_/miss-saigon-28.gif', 'width': '48', 'height': '48'}}]",53.3416,,-6.25735,2016-11-25 11:56:27,Europe/Dublin,evdb,,,1,on various days,D,Dublin,2017-10-04 19:30:00,,Miss Saigon,,,,,http://dublin.eventful.com/events/miss-saigon-/E0-001-098073925-8@2017100419?utm_source=apis&utm_medium=apim&utm_campaign=apic,"Grand Canal Square , Docklands",1,V0-001-010563539-3,Bord Gais Energy Theatre,http://dublin.eventful.com/venues/bord-gais-energy-theatre-/V0-001-010563539-3?utm_source=apis&utm_medium=apim&utm_campaign=apic,
3,0,,,Dublin,,IRL,IE,Ireland,2016-12-20 19:01:01,,City Based GeoCodes,,,,E0-001-098797431-9@2017090810,[None],53.3416,,-6.25735,2016-12-20 19:01:04,Europe/Dublin,evdb,,,1,on various days,D,Dublin,2017-09-08 10:30:00,,PAW Patrol Live,,,,,http://dublin.eventful.com/events/paw-patrol-live-/E0-001-098797431-9@2017090810?utm_source=apis&utm_medium=apim&utm_campaign=apic,"Grand Canal Square , Docklands",1,V0-001-010563539-3,Bord Gais Energy Theatre,http://dublin.eventful.com/venues/bord-gais-energy-theatre-/V0-001-010563539-3?utm_source=apis&utm_medium=apim&utm_campaign=apic,
4,0,,,Dublin,,IRL,IE,Ireland,2016-11-25 00:56:55,,City Based GeoCodes,,,,E0-001-098076251-1@2017091919,[None],53.3416,,-6.25735,2016-11-25 00:56:56,Europe/Dublin,evdb,,,1,on various days,D,Dublin,2017-09-19 19:30:00,,Crazy for You,,,,,http://dublin.eventful.com/events/crazy-you-/E0-001-098076251-1@2017091919?utm_source=apis&utm_medium=apim&utm_campaign=apic,"Grand Canal Square , Docklands",1,V0-001-010563539-3,Bord Gais Energy Theatre,http://dublin.eventful.com/venues/bord-gais-energy-theatre-/V0-001-010563539-3?utm_source=apis&utm_medium=apim&utm_campaign=apic,
5,2,,,Dublin,,IRL,IE,Ireland,2016-11-26 14:15:01,,EVDB Geocoder,,,,E0-001-098114793-1,[None],53.3474460,,-6.2694842,2017-01-20 22:21:23,Europe/Dublin,evdb,,,1,,D,Dublin,2017-11-25 00:00:00,2017-01-22 00:00:00,"Prix Pictet Disorder - Ilit Azoulay, Valérie Belin, Ori Gersht, John Gossage, Pieter Hugo",,,,,http://dublin.eventful.com/events/prix-pictet-disorder-ilit-azoulay-valrie-belin-/E0-001-098114793-1?utm_source=apis&utm_medium=apim&utm_campaign=apic,Meeting House Ln,1,V0-001-005936750-4,Gallery Of Photography,http://dublin.eventful.com/venues/gallery-of-photography-/V0-001-005936750-4?utm_source=apis&utm_medium=apim&utm_campaign=apic,
6,2,,,Dublin,,IRL,IE,Ireland,2017-04-21 23:12:10," In the spirit of ideas worth spreading, TEDx is a program of local, self-organized events that bring people together to share a TED-like experience. At a TEDx event, TEDTalks video and live speakers combine to spark deep discussion and connection in a small group. These local, self-organized events are branded TEDx, where x = independently organized TED event. The TED Conference provides general guidance for the TEDx program, but individual TEDx events are self-organized (subject to certain rules and regulations).",EVDB Geocoder,,,,E0-001-102301838-9,[None],53.28354825925002,,-6.373634932788036,2017-04-21 23:12:10,Europe/Dublin,evdb,,,1,,D,Dublin,2017-10-12 00:00:00,,Tallaght,,,,,http://dublin.eventful.com/events/tallaght-/E0-001-102301838-9?utm_source=apis&utm_medium=apim&utm_campaign=apic,Whitestown Way,1,V0-001-001863968-4,Tallaght Stadium,http://dublin.eventful.com/venues/tallaght-stadium-/V0-001-001863968-4?utm_source=apis&utm_medium=apim&utm_campaign=apic,
7,0,,,Dublin,,IRL,IE,Ireland,2017-02-22 23:19:25,,City Based GeoCodes,,,,E0-001-100609968-8@2017070621,[None],53.3416,,-6.25735,2017-02-22 23:19:29,Europe/Dublin,evdb,,,1,on various days,D,Dublin,2017-07-06 21:00:00,,SpiritRiders,,,,,http://dublin.eventful.com/events/spiritriders-/E0-001-100609968-8@2017070621?utm_source=apis&utm_medium=apim&utm_campaign=apic,74 Irishtown Rd,1,V0-001-007724915-0,The Vintage Inn,http://dublin.eventful.com/venues/the-vintage-inn-/V0-001-007724915-0?utm_source=apis&utm_medium=apim&utm_campaign=apic,
8,0,,,Dublin,,IRL,IE,Ireland,2017-02-18 00:41:38,,City Based GeoCodes,,,,E0-001-100479186-1,"[{'medium': {'url': 'http://s2.evcdn.com/images/medium/I0-001/037/854/729-0.jpeg_/ian-prowse-29.jpeg', 'width': '128', 'height': '128'}, 'thumb': {'url': 'http://s2.evcdn.com/images/thumb/I0-001/037/854/729-0.jpeg_/ian-prowse-29.jpeg', 'width': '48', 'height': '48'}, 'caption': None, 'url': 'http://s2.evcdn.com/images/small/I0-001/037/854/729-0.jpeg_/ian-prowse-29.jpeg', 'height': '48', 'width': '48', 'small': {'url': 'http://s2.evcdn.com/images/small/I0-001/037/854/729-0.jpeg_/ian-prowse-29.jpeg', 'width': '48', 'height': '48'}}]",53.3416,,-6.25735,2017-02-18 04:32:41,Europe/Dublin,evdb,"{'performer': {'name': 'Ian Prowse', 'creator': 'brambling', 'url': 'http://concerts.eventful.com/Ian-Prowse?utm_source=apis&utm_medium=apim&utm_campaign=apic', 'linker': 'evdb', 'short_bio': 'Frontman of Amsterdam', 'id': 'P0-001-000165911-2'}}",01295 274100,1,,D,Dublin,2017-10-28 20:00:00,,Ian Prowse,,,,,http://dublin.eventful.com/events/ian-prowse-/E0-001-100479186-1?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBC,1,V0-001-002480466-9,Dublin,http://dublin.eventful.com/venues/dublin-/V0-001-002480466-9?utm_source=apis&utm_medium=apim&utm_campaign=apic,
9,0,,,Dublin,,IRL,IE,Ireland,2017-02-18 00:24:21," <strong>Ard Matthews Live In Dublin.</strong><br><strong>Venue: The Loft</strong><br><strong>Saturday, 5th August 2017</strong><br><strong>Doors: 8:00pm - 11:00pm</strong><br><strong>Admission: €15 </strong><br><br><p>Ard Matthews (Just Jinjer)<p>Sat Aug 5th<p>Adm: €15<p> <p>As the front man of South African band Just Jinjer, Ard Matthews’ indelible lyrics and melody arrangements led the way to the incredible success of their debut album and many after. Ard released his debut solo album ‘First Offerings’ in the winter of 2012 to critical acclaim and continues to write and release under his name, as well as fronting Just Jinjer.<p>Over the course of the last decade and a half, well known singer and songwriter, Ard Matthews, has been honing his craft and moving people the world over. As the front man of South African band Just Jinjer, his indelible lyrics and melody arrangements led the way to the incredible success of their debut album title ‘All Comes Round’, becoming one of the biggest selling rock genre albums of all time in their native country of South Africa, achieving<br> double platinum status in it’s first year, with the follow up album “Something for now” reaching the same status a year later.<br> Just Jinjer have shared the stage with many iconic local and international artists on many stages across the world. Most notably at the Nelson Mandela 46664 Concert, Johannesburg in 2009 where they performed with the likes of The Goo Goo Dolls, Annie Lennox, Razorlight, Ludacris, Corrinne Bailey Rae, Peter Gabriel, Live, and Angélique Kidjo. They have also performed support duties, and shared the bill with many international stars such as U2,<br> Counting Crows, Def Leppard, INXS, Maroon 5, One Republic, Hootie and the Blowfish, The Strokes, and many more. On their own, Just Jinjer have performed many sold out arena<br> Ard was born in Johannesburg to Dries Brits and Arlene, but considers himself a Durban boy after having moved to the Bluff in Durban shortly thereafter, to be raised by only his mother.<p>He grew up in a strict religious household with little popular music, but what he did hear Nat “King” Cole, Louis Armstrong and Elvis Presley — elicited an innate musicality that won him a talent contest as a singer when he was twelve years old.<p>In his late high school years, he sat down at a friend’s drum kit and immediately found a natural proficiency on percussion. Having no desire to pursue conventional studies after school, he enrolled in to The Groove Class based in Johannesburg, South Africa’s only<br> affiliate of Los Angeles’s famed Musicians Institute, during which time he also started to learn the guitar and discovered a voice that would shape the course of his future forever.<p>Travelling frequently to countries all over the world with Just Jinjer, Ard and the band wowed audiences across Europe, Australia, and the United States, and eventually settled in Los Angeles for 8 years, where they signed an international recording deal with Curb Records, and played at some of the most well known and influential clubs and festivals before returning to SA in 2009.<p>Ard released his debut solo album ‘First Offerings’ in the winter of 2012 to critical acclaim and shortly after teamed up with South African folk icon Vusi Mahlasela for Ard’s single ‘Umuntu’,<br> as well as famed composer and performer Paul Hepker (Oscar winning movie Tsotsi, as well as composer for Deadliest Catch, Rendition, & Eye in the Sky soundtracks) for Jeff Buckley’s<br> ‘Lover, You should have come over’. Ard is now playing regularly as a solo act, as well as still fronting the original Just Jinjer, both playing at well known festivals such as Oppikoppi and<br> Rocking The Daisies, and other high profile venues.<br> In 2014, Ard joined forces with top advertising company King James and leading insurance firm Sanlam to produce a massive online campaign about a snubbed contestant from an international music contest television series, with Ard writing, producing, and recording a song for the contestant and being filmed for a documentary.<p>Ard recently returned from a string of sold out international shows in the United Kingdom & Dubai, and during the end of 2016 completed a brand new single entitled ‘Wonder Years’, a genre crossover track incorporating Pop, Indie, and Dance, due for release in the first week of 2017, and featured on MNET’s Prime-Time television show Arno Carstens & Friends.</p></p></p></p></p></p></p></p></p></p></p>",EVDB Geocoder,,,,E0-001-100478493-1,[None],53.3466761,,-6.2632464,2017-02-18 00:24:21,Europe/Dublin,evdb,,Dublin 1,1,,D,Dublin,2017-08-05 20:00:00,,Ard Matthews Live In Dublin.,,,,,http://dublin.eventful.com/events/ard-matthews-live-dublin-/E0-001-100478493-1?utm_source=apis&utm_medium=apim&utm_campaign=apic,35 Lower Liffey Street,1,V0-001-004645599-7,The Grand Social (Formerly Pravda),http://dublin.eventful.com/venues/the-grand-social-formerly-pravda-/V0-001-004645599-7?utm_source=apis&utm_medium=apim&utm_campaign=apic,
